iter	Logloss
0	0.6851588866
1	0.6770099328
2	0.6695865134
3	0.6619081083
4	0.6544737625
5	0.6486467013
6	0.6422761565
7	0.6355394967
8	0.6289492039
9	0.6237599072
10	0.6177993392
11	0.6118902999
12	0.6059879091
13	0.6001846476
14	0.5946832258
15	0.5903647607
16	0.5853224283
17	0.5806648867
18	0.5758176345
19	0.570923985
20	0.5664051289
21	0.5617096231
22	0.5569773388
23	0.5529846212
24	0.548901149
25	0.5452317701
26	0.5410801028
27	0.5368017301
28	0.5329744567
29	0.5290734547
30	0.5254723466
31	0.5218599487
32	0.5180698091
33	0.5148693694
34	0.5115282661
35	0.5082740762
36	0.5051182219
37	0.5021608825
38	0.4991023124
39	0.4958359014
40	0.4929908244
41	0.4900932958
42	0.4875369243
43	0.4851199795
44	0.4825237585
45	0.480107098
46	0.477903126
47	0.4754694829
48	0.4731161768
49	0.4706187041
50	0.4683668019
51	0.4661264536
52	0.4641407638
53	0.4620810435
54	0.4601882309
55	0.4582265646
56	0.4564933031
57	0.4547448614
58	0.4531015643
59	0.4512603925
60	0.4494657115
61	0.4477970967
62	0.4462031175
63	0.4443918434
64	0.4428009568
65	0.4409871123
66	0.4400280293
67	0.4385395971
68	0.4371608769
69	0.4357730818
70	0.4342777111
71	0.4329975295
72	0.4316046118
73	0.4301608559
74	0.4287510585
75	0.4275916512
76	0.4264663121
77	0.4253211769
78	0.4243307497
79	0.4230062978
80	0.4220074918
81	0.4207603942
82	0.4195612009
83	0.4184722929
84	0.4175269049
85	0.4167193367
86	0.4157558834
87	0.414651102
88	0.4137417596
89	0.412668532
90	0.4119064414
91	0.4108620457
92	0.4098351442
93	0.4089231265
94	0.4085401919
95	0.4076129966
96	0.4067864164
97	0.4059877779
98	0.4051899952
99	0.4042533362
100	0.4033943693
101	0.4026864874
102	0.4020505383
103	0.4013965133
104	0.4006372544
105	0.3999871642
106	0.3997167157
107	0.3993794094
108	0.3986855883
109	0.3981127021
110	0.397454868
111	0.3967253285
112	0.3961518954
113	0.3954861609
114	0.3947288082
115	0.394426331
116	0.394051433
117	0.3934966215
118	0.3929451428
119	0.3925058151
120	0.3919004729
121	0.3913006402
122	0.3907551837
123	0.3903477825
124	0.3898127894
125	0.3892637272
126	0.388585187
127	0.3879624062
128	0.3876901004
129	0.3871727363
130	0.3867057126
131	0.3862548608
132	0.3858268002
133	0.3853569085
134	0.3849276312
135	0.3844831868
136	0.3839690502
137	0.3836077144
138	0.3831369593
139	0.3826597943
140	0.3823405336
141	0.3818418474
142	0.3813609087
143	0.3810013084
144	0.3806390679
145	0.3801445114
146	0.3796915062
147	0.3793270915
148	0.3790109767
149	0.3786532119
150	0.3782777863
151	0.37799767
152	0.3776894866
153	0.3772278147
154	0.3768058776
155	0.3763927988
156	0.3759952801
157	0.3756652674
158	0.3753599174
159	0.3751685954
160	0.374815668
161	0.3744889701
162	0.3740936257
163	0.3737788716
164	0.3733355361
165	0.373050532
166	0.3727478011
167	0.3724324113
168	0.3723121961
169	0.3720513508
170	0.3719662735
171	0.3716406039
172	0.3713417839
173	0.3709448953
174	0.3706207326
175	0.3703825248
176	0.370163967
177	0.3698521101
178	0.3695701795
179	0.3692680693
180	0.3689127209
181	0.3685706708
182	0.3682474167
183	0.3681525948
184	0.3678660906
185	0.3675984143
186	0.3673425868
187	0.3670340322
188	0.3668142748
189	0.3665071049
190	0.366455969
191	0.3662077804
192	0.3658959868
