iter	Passed	Remaining
0	185	185714
1	225	112355
2	257	85603
3	295	73547
4	334	66471
5	354	58757
6	379	53858
7	416	51694
8	454	50030
9	475	47033
10	514	46281
11	553	45552
12	585	44451
13	624	43982
14	661	43442
15	681	41917
16	719	41586
17	743	40585
18	774	40010
19	815	39980
20	857	39998
21	897	39882
22	938	39855
23	969	39435
24	1007	39281
25	1033	38731
26	1073	38678
27	1112	38618
28	1151	38553
29	1192	38557
30	1236	38640
31	1274	38567
32	1314	38504
33	1352	38431
34	1395	38476
35	1434	38416
36	1473	38350
37	1512	38280
38	1551	38229
39	1589	38151
40	1628	38081
41	1669	38084
42	1714	38158
43	1746	37943
44	1784	37874
45	1822	37792
46	1861	37738
47	1901	37705
48	1941	37681
49	1980	37627
50	2019	37572
51	2057	37503
52	2121	37899
53	2170	38017
54	2213	38029
55	2256	38032
56	2297	38011
57	2344	38071
58	2387	38074
59	2428	38042
60	2469	38021
61	2509	37965
62	2549	37924
63	2589	37868
64	2628	37804
65	2667	37742
66	2700	37605
67	2738	37531
68	2777	37481
69	2817	37435
70	2855	37368
71	2894	37311
72	2934	37264
73	2973	37212
74	3014	37178
75	3053	37129
76	3094	37088
77	3127	36971
78	3165	36909
79	3205	36868
80	3244	36812
81	3284	36774
82	3322	36711
83	3365	36697
84	3406	36667
85	3449	36662
86	3508	36816
87	3564	36940
88	3606	36916
89	3647	36876
90	3688	36841
91	3727	36787
92	3767	36745
93	3807	36697
94	3829	36480
95	3869	36442
96	3910	36401
97	3948	36343
98	3987	36293
99	4026	36242
100	4070	36227
101	4113	36212
102	4153	36170
103	4193	36126
104	4233	36085
105	4272	36037
106	4294	35839
107	4320	35685
108	4360	35642
109	4398	35591
110	4437	35542
111	4478	35509
112	4519	35475
113	4559	35435
114	4598	35386
115	4621	35216
116	4655	35137
117	4695	35093
118	4735	35059
119	4768	34971
120	4808	34930
121	4848	34890
122	4888	34855
123	4929	34823
124	4970	34792
125	5010	34753
126	5051	34725
127	5093	34697
128	5128	34624
129	5168	34587
130	5207	34545
131	5246	34501
132	5287	34470
133	5329	34441
134	5369	34405
135	5411	34375
136	5451	34337
137	5491	34301
138	5531	34265
139	5571	34222
140	5611	34187
141	5651	34145
142	5691	34110
143	5732	34074
144	5765	33994
145	5804	33952
146	5843	33910
147	5883	33869
148	5925	33840
149	5965	33802
150	6004	33761
151	6046	33732
152	6088	33706
153	6127	33660
154	6168	33627
155	6208	33587
156	6248	33552
157	6288	33509
158	6328	33472
159	6355	33364
160	6395	33329
161	6435	33291
162	6487	33313
163	6528	33278
164	6568	33242
165	6608	33202
166	6648	33164
167	6688	33125
168	6709	32993
169	6750	32959
170	6771	32828
171	6811	32788
172	6851	32752
173	6891	32716
174	6933	32686
175	6972	32646
176	7013	32609
177	7052	32566
178	7094	32539
179	7134	32499
180	7176	32472
181	7217	32439
182	7259	32408
183	7279	32284
184	7318	32240
185	7360	32210
186	7400	32173
187	7441	32140
188	7485	32120
189	7524	32079
190	7551	31987
191	7592	31951
192	7632	31914
193	7672	31877
194	7699	31785
195	7740	31753
196	7781	31720
197	7821	31679
198	7830	31516
199	7869	31479
200	7909	31440
201	7950	31407
202	7987	31358
203	8026	31318
204	8068	31291
205	8108	31252
206	8148	31215
207	8187	31176
208	8227	31138
209	8265	31095
210	8305	31057
211	8346	31022
212	8373	30937
213	8410	30890
214	8443	30829
215	8481	30783
216	8520	30745
217	8560	30706
218	8598	30663
219	8637	30624
220	8675	30578
221	8713	30536
222	8752	30496
223	8792	30458
224	8806	30333
225	8847	30300
226	8886	30259
227	8912	30176
228	8953	30143
229	8979	30062
230	9018	30022
231	9057	29984
232	9100	29957
233	9139	29917
234	9179	29882
235	9219	29845
236	9247	29771
237	9286	29733
238	9326	29697
239	9366	29661
240	9406	29623
241	9445	29584
242	9484	29546
243	9505	29452
244	9544	29411
245	9583	29372
246	9622	29335
247	9661	29294
248	9701	29261
249	9741	29225
250	9782	29190
251	9797	29081
252	9835	29040
253	9874	29002
254	9908	28949
255	9947	28909
256	9985	28867
257	10023	28828
258	10065	28797
259	10111	28777
260	10151	28744
261	10185	28689
262	10224	28651
263	10264	28616
264	10304	28581
265	10345	28547
266	10385	28511
267	10427	28482
268	10466	28443
269	10506	28407
270	10521	28303
271	10564	28274
272	10603	28237
273	10643	28201
274	10688	28179
275	10728	28143
276	10768	28107
277	10795	28036
278	10838	28007
279	10878	27973
280	10919	27939
281	10960	27905
282	11001	27872
283	11040	27834
284	11081	27800
285	11122	27767
286	11163	27732
287	11208	27710
288	11248	27673
289	11288	27637
290	11326	27595
291	11348	27515
292	11387	27476
293	11426	27439
294	11465	27400
295	11504	27362
296	11544	27324
297	11558	27228
298	11589	27171
299	11626	27128
300	11665	27089
301	11684	27005
302	11723	26967
303	11763	26931
304	11802	26895
305	11842	26857
306	11881	26821
307	11923	26788
308	11962	26750
309	11977	26659
310	12016	26621
311	12057	26588
312	12098	26554
313	12139	26521
314	12160	26443
315	12198	26404
316	12218	26325
317	12256	26285
318	12294	26246
319	12335	26213
320	12375	26177
321	12414	26139
322	12456	26108
323	12496	26072
324	12516	25995
325	12556	25959
326	12595	25923
327	12634	25886
328	12674	25848
329	12707	25800
330	12747	25764
331	12786	25726
332	12825	25689
333	12864	25652
334	12903	25614
335	12944	25580
336	12985	25547
337	13024	25509
338	13064	25474
339	13104	25437
340	13143	25400
341	13182	25362
342	13223	25328
343	13262	25291
344	13303	25257
345	13343	25222
346	13364	25149
347	13402	25110
348	13441	25072
349	13481	25037
350	13521	25001
351	13540	24927
352	13579	24889
353	13620	24855
354	13660	24819
355	13693	24772
356	13733	24736
357	13774	24701
358	13803	24646
359	13847	24617
360	13888	24584
361	13927	24547
362	13966	24509
363	14008	24477
364	14030	24409
365	14059	24354
366	14099	24319
367	14139	24283
368	14178	24246
369	14219	24210
370	14258	24174
371	14279	24106
372	14318	24068
373	14359	24035
374	14402	24003
375	14441	23966
376	14480	23929
377	14520	23893
378	14559	23856
379	14575	23780
380	14613	23741
381	14654	23707
382	14693	23670
383	14733	23635
384	14774	23600
385	14815	23565
386	14855	23530
387	14894	23493
388	14934	23458
389	14974	23421
390	15014	23386
391	15056	23352
392	15096	23316
393	15136	23280
394	15157	23216
395	15195	23177
396	15234	23139
397	15274	23103
398	15314	23067
399	15354	23031
400	15395	22996
401	15433	22958
402	15474	22923
403	15511	22883
404	15551	22847
405	15565	22773
406	15605	22737
407	15620	22664
408	15639	22599
409	15678	22561
410	15704	22505
411	15744	22469
412	15783	22433
413	15803	22369
414	15841	22331
415	15880	22294
416	15921	22259
417	15959	22221
418	15998	22184
419	16046	22158
420	16087	22125
421	16127	22089
422	16171	22059
423	16209	22020
424	16249	21984
425	16289	21948
426	16330	21914
427	16369	21877
428	16409	21841
429	16449	21805
430	16489	21769
431	16517	21717
432	16555	21678
433	16570	21610
434	16591	21549
435	16618	21497
436	16639	21436
437	16653	21368
438	16673	21306
439	16687	21238
440	16706	21177
441	16745	21139
442	16753	21065
443	16793	21029
444	16833	20994
445	16873	20959
446	16888	20892
447	16931	20862
448	16966	20821
449	17006	20785
450	17049	20753
451	17090	20720
452	17114	20666
453	17153	20629
454	17194	20595
455	17233	20559
456	17274	20524
457	17316	20492
458	17355	20456
459	17406	20433
460	17448	20400
461	17490	20368
462	17529	20331
463	17569	20295
464	17608	20259
465	17635	20209
466	17674	20172
467	17713	20136
468	17753	20100
469	17794	20065
470	17833	20030
471	17874	19994
472	17914	19959
473	17953	19923
474	17969	19861
475	17991	19806
476	18030	19768
477	18070	19734
478	18110	19698
479	18137	19648
480	18151	19585
481	18190	19548
482	18229	19512
483	18250	19457
484	18289	19421
485	18330	19386
486	18351	19331
487	18365	19268
488	18404	19232
489	18444	19197
490	18459	19136
491	18498	19100
492	18539	19065
493	18553	19004
494	18593	18968
495	18633	18934
496	18673	18899
497	18714	18864
